"STATE","Year","CAUSE","FIRETYPE","SIZECLASS","count"
"Arkansas",1994,"Human","Unknown",2,66
"Arkansas",1994,"Human","Unknown",22,23
"Arkansas",1994,"Human","Unknown",80,2
"Arkansas",1994,"Natural","Natural out",2,1
"Arkansas",1994,"Natural","Unknown",0.05,4
"Arkansas",1994,"Natural","Unknown",2,5
"Arkansas",1994,"Natural","Unknown",22,5
"Arkansas",1995,"","False Alarm",NA,2
"Arkansas",1995,"","Support action/Assist fire",NA,18
"Arkansas",1995,"Human","Active/Suppressed",0.05,9
"Arkansas",1995,"Human","Active/Suppressed",2,10
"Arkansas",1995,"Human","Active/Suppressed",22,17
"Arkansas",1995,"Human","Active/Suppressed",80,2
"Arkansas",1995,"Human","Active/Suppressed",262.5,2
"Arkansas",1995,"Human","Natural out",0.05,6
"Arkansas",1995,"Human","Natural out",2,1
"Arkansas",1995,"Human","Natural out",22,1
"Arkansas",1995,"Human","Prescribed fire",0.05,4
"Arkansas",1995,"Human","Prescribed fire",22,2
"Arkansas",1995,"Human","Prescribed fire",262.5,1
"Arkansas",1995,"Human","Unknown",0.05,22
"Arkansas",1995,"Human","Unknown",2,108
"Arkansas",1995,"Human","Unknown",22,35
"Arkansas",1995,"Human","Unknown",80,5
"Arkansas",1995,"Natural","Active/Suppressed",2,1
"Arkansas",1995,"Natural","Unknown",0.05,6
"Arkansas",1995,"Natural","Unknown",2,10
"Arkansas",1995,"Natural","Unknown",22,6
"Arkansas",1996,"","False Alarm",NA,5
"Arkansas",1996,"","Support action/Assist fire",NA,13
"Arkansas",1996,"Human","Active/Suppressed",0.05,11
"Arkansas",1996,"Human","Active/Suppressed",2,8
"Arkansas",1996,"Human","Active/Suppressed",22,10
"Arkansas",1996,"Human","Active/Suppressed",80,3
"Arkansas",1996,"Human","Active/Suppressed",262.5,2
"Arkansas",1996,"Human","Natural out",0.05,1
"Arkansas",1996,"Human","Natural out",2,4
"Arkansas",1996,"Human","Prescribed fire",2,3
"Arkansas",1996,"Human","Prescribed fire",22,7
"Arkansas",1996,"Human","Prescribed fire",80,1
"Arkansas",1996,"Human","Prescribed fire",262.5,1
"Arkansas",1996,"Human","Support action/Assist fire",NA,1
"Arkansas",1996,"Human","Unknown",0.05,31
"Arkansas",1996,"Human","Unknown",2,73
"Arkansas",1996,"Human","Unknown",22,40
"Arkansas",1996,"Human","Unknown",80,4
"Arkansas",1996,"Natural","Active/Suppressed",0.05,1
"Arkansas",1996,"Natural","Active/Suppressed",2,2
"Arkansas",1996,"Natural","Active/Suppressed",80,1
"Arkansas",1996,"Natural","Unknown",0.05,3
"Arkansas",1996,"Natural","Unknown",2,16
"Arkansas",1996,"Natural","Unknown",22,3
"Arkansas",1997,"","False Alarm",NA,2
"Arkansas",1997,"","Support action/Assist fire",NA,1
"Arkansas",1997,"Human","Active/Suppressed",0.05,3
"Arkansas",1997,"Human","Active/Suppressed",2,1
"Arkansas",1997,"Human","Active/Suppressed",22,3
"Arkansas",1997,"Human","Active/Suppressed",80,1
"Arkansas",1997,"Human","Natural out",22,2
"Arkansas",1997,"Human","Prescribed fire",0.05,4
"Arkansas",1997,"Human","Prescribed fire",2,1
"Arkansas",1997,"Human","Prescribed fire",22,5
"Arkansas",1997,"Human","Prescribed fire",80,2
"Arkansas",1997,"Human","Prescribed fire",262.5,4
"Arkansas",1997,"Human","Unknown",0.05,22
"Arkansas",1997,"Human","Unknown",2,60
"Arkansas",1997,"Human","Unknown",22,14
"Arkansas",1997,"Human","Unknown",80,1
"Arkansas",1997,"Natural","Active/Suppressed",0.05,1
"Arkansas",1997,"Natural","Unknown",0.05,2
"Arkansas",1997,"Natural","Unknown",2,3
"Arkansas",1997,"Natural","Unknown",22,4
"Arkansas",1998,"","False Alarm",NA,4
"Arkansas",1998,"","Support action/Assist fire",NA,21
"Arkansas",1998,"Human","Active/Suppressed",0.05,7
"Arkansas",1998,"Human","Active/Suppressed",2,4
"Arkansas",1998,"Human","Active/Suppressed",22,4
"Arkansas",1998,"Human","Active/Suppressed",80,1
"Arkansas",1998,"Human","Natural out",2,2
"Arkansas",1998,"Human","Natural out",22,1
"Arkansas",1998,"Human","Prescribed fire",0.05,1
"Arkansas",1998,"Human","Prescribed fire",2,1
"Arkansas",1998,"Human","Prescribed fire",22,5
"Arkansas",1998,"Human","Prescribed fire",262.5,1
"Arkansas",1998,"Human","Support action/Assist fire",NA,2
"Arkansas",1998,"Human","Unknown",0.05,26
"Arkansas",1998,"Human","Unknown",2,44
"Arkansas",1998,"Human","Unknown",22,18
"Arkansas",1998,"Human","Unknown",80,1
"Arkansas",1998,"Natural","Active/Suppressed",0.05,1
"Arkansas",1998,"Natural","Active/Suppressed",2,1
"Arkansas",1998,"Natural","Active/Suppressed",80,1
"Arkansas",1998,"Natural","Unknown",0.05,3
"Arkansas",1998,"Natural","Unknown",2,17
"Arkansas",1998,"Natural","Unknown",22,4
"Arkansas",1998,"Natural","Unknown",80,1
"Arkansas",1999,"","False Alarm",NA,3
"Arkansas",1999,"","Support action/Assist fire",NA,3
"Arkansas",1999,"Human","Active/Suppressed",0.05,10
"Arkansas",1999,"Human","Active/Suppressed",2,10
"Arkansas",1999,"Human","Active/Suppressed",22,7
"Arkansas",1999,"Human","Active/Suppressed",80,1
"Arkansas",1999,"Human","Active/Suppressed",262.5,1
"Arkansas",1999,"Human","Active/Suppressed",1214,1
"Arkansas",1999,"Human","Natural out",22,1
"Arkansas",1999,"Human","Prescribed fire",22,4
"Arkansas",1999,"Human","Prescribed fire",80,6
"Arkansas",1999,"Human","Prescribed fire",262.5,3
"Arkansas",1999,"Human","Prescribed fire",1214,1
"Arkansas",1999,"Human","Support action/Assist fire",NA,1
"Arkansas",1999,"Human","Unknown",0.05,20
"Arkansas",1999,"Human","Unknown",2,84
"Arkansas",1999,"Human","Unknown",22,34
"Arkansas",1999,"Human","Unknown",80,1
"Arkansas",1999,"Human","Unknown",262.5,1
"Arkansas",1999,"Natural","Unknown",0.05,5
"Arkansas",1999,"Natural","Unknown",2,9
"Arkansas",1999,"Natural","Unknown",22,8
"Arkansas",2000,"","False Alarm",NA,1
"Arkansas",2000,"","Support action/Assist fire",NA,45
"Arkansas",2000,"Human","Active/Suppressed",0.05,7
"Arkansas",2000,"Human","Active/Suppressed",2,9
"Arkansas",2000,"Human","Active/Suppressed",22,6
"Arkansas",2000,"Human","Active/Suppressed",80,1
"Arkansas",2000,"Human","Natural out",0.05,1
"Arkansas",2000,"Human","Natural out",2,2
"Arkansas",2000,"Human","Natural out",22,1
"Arkansas",2000,"Human","Prescribed fire",2,1
"Arkansas",2000,"Human","Prescribed fire",22,11
"Arkansas",2000,"Human","Prescribed fire",80,9
"Arkansas",2000,"Human","Prescribed fire",262.5,3
"Arkansas",2000,"Human","Prescribed fire",1214,1
"Arkansas",2000,"Human","Unknown",0.05,26
"Arkansas",2000,"Human","Unknown",2,79
"Arkansas",2000,"Human","Unknown",22,18
"Arkansas",2000,"Human","Unknown",80,1
"Arkansas",2000,"Natural","Active/Suppressed",2,1
"Arkansas",2000,"Natural","Active/Suppressed",22,1
"Arkansas",2000,"Natural","Unknown",0.05,3
"Arkansas",2000,"Natural","Unknown",2,14
"Arkansas",2000,"Natural","Unknown",22,6
"Arkansas",2000,"Natural","Unknown",80,3
"Arkansas",2001,"","False Alarm",NA,2
"Arkansas",2001,"","Support action/Assist fire",NA,45
"Arkansas",2001,"Human","Active/Suppressed",0.05,3
"Arkansas",2001,"Human","Active/Suppressed",2,2
"Arkansas",2001,"Human","Active/Suppressed",22,1
"Arkansas",2001,"Human","Active/Suppressed",1214,1
"Arkansas",2001,"Human","Natural out",0.05,1
"Arkansas",2001,"Human","Natural out",2,2
"Arkansas",2001,"Human","Prescribed fire",22,2
"Arkansas",2001,"Human","Prescribed fire",262.5,1
"Arkansas",2001,"Human","Unknown",0.05,22
"Arkansas",2001,"Human","Unknown",2,40
"Arkansas",2001,"Human","Unknown",22,13
"Arkansas",2001,"Human","Unknown",80,1
"Arkansas",2001,"Natural","Active/Suppressed",22,1
"Arkansas",2001,"Natural","Natural out",0.05,2
"Arkansas",2001,"Natural","Unknown",0.05,4
"Arkansas",2001,"Natural","Unknown",2,15
"Arkansas",2001,"Natural","Unknown",22,12
"Arkansas",2002,"","Support action/Assist fire",NA,57
"Arkansas",2002,"Human","Active/Suppressed",0.05,4
"Arkansas",2002,"Human","Active/Suppressed",2,10
"Arkansas",2002,"Human","Active/Suppressed",22,2
"Arkansas",2002,"Human","Active/Suppressed",80,1
"Arkansas",2002,"Human","Natural out",0.05,1
"Arkansas",2002,"Human","Natural out",2,1
"Arkansas",2002,"Human","Prescribed fire",22,4
"Arkansas",2002,"Human","Prescribed fire",80,2
"Arkansas",2002,"Human","Prescribed fire",262.5,7
"Arkansas",2002,"Human","Prescribed fire",1214,1
"Arkansas",2002,"Human","Support action/Assist fire",NA,1
"Arkansas",2002,"Human","Unknown",0.05,22
"Arkansas",2002,"Human","Unknown",2,32
"Arkansas",2002,"Human","Unknown",22,27
"Arkansas",2002,"Human","Unknown",80,3
"Arkansas",2002,"Natural","Active/Suppressed",0.05,1
"Arkansas",2002,"Natural","Support action/Assist fire",NA,2
"Arkansas",2002,"Natural","Unknown",0.05,1
"Arkansas",2002,"Natural","Unknown",2,4
"Arkansas",2002,"Natural","Unknown",22,2
"Arkansas",2003,"","Active/Suppressed",NA,1
"Arkansas",2003,"","False Alarm",NA,4
"Arkansas",2003,"","Support action/Assist fire",NA,28
"Arkansas",2003,"Human","Active/Suppressed",0.05,4
"Arkansas",2003,"Human","Active/Suppressed",2,5
"Arkansas",2003,"Human","Active/Suppressed",22,6
"Arkansas",2003,"Human","Active/Suppressed",80,1
"Arkansas",2003,"Human","Natural out",262.5,1
"Arkansas",2003,"Human","Prescribed fire",0.05,1
"Arkansas",2003,"Human","Prescribed fire",2,1
"Arkansas",2003,"Human","Prescribed fire",22,1
"Arkansas",2003,"Human","Prescribed fire",80,6
"Arkansas",2003,"Human","Prescribed fire",262.5,4
"Arkansas",2003,"Human","Prescribed fire",1214,1
"Arkansas",2003,"Human","Support action/Assist fire",NA,1
"Arkansas",2003,"Human","Unknown",0.05,14
"Arkansas",2003,"Human","Unknown",2,46
"Arkansas",2003,"Human","Unknown",22,19
"Arkansas",2003,"Human","Unknown",80,1
"Arkansas",2003,"Human","Unknown",262.5,1
"Arkansas",2003,"Human","Unknown",1214,1
"Arkansas",2003,"Natural","Active/Suppressed",0.05,1
"Arkansas",2003,"Natural","Unknown",0.05,4
"Arkansas",2003,"Natural","Unknown",2,4
"Arkansas",2003,"Natural","Unknown",22,4
"Arkansas",2004,"","False Alarm",NA,4
"Arkansas",2004,"","Support action/Assist fire",NA,18
"Arkansas",2004,"Human","Active/Suppressed",0.05,8
"Arkansas",2004,"Human","Active/Suppressed",2,7
"Arkansas",2004,"Human","Active/Suppressed",22,4
"Arkansas",2004,"Human","Natural out",0.05,3
"Arkansas",2004,"Human","Natural out",2,5
"Arkansas",2004,"Human","Prescribed fire",2,1
"Arkansas",2004,"Human","Prescribed fire",22,4
"Arkansas",2004,"Human","Prescribed fire",80,3
"Arkansas",2004,"Human","Prescribed fire",262.5,9
"Arkansas",2004,"Human","Prescribed fire",5000,1
"Arkansas",2004,"Human","Support action/Assist fire",NA,3
"Arkansas",2004,"Human","Unknown",0.05,16
"Arkansas",2004,"Human","Unknown",2,26
"Arkansas",2004,"Human","Unknown",22,28
"Arkansas",2004,"Human","Unknown",80,1
"Arkansas",2004,"Human","Unknown",262.5,1
"Arkansas",2004,"Natural","Support action/Assist fire",NA,1
"Arkansas",2004,"Natural","Unknown",0.05,1
"Arkansas",2004,"Natural","Unknown",2,1
"Arkansas",2004,"Natural","Unknown",22,1
"Arkansas",2005,"","Active/Suppressed",22,1
"Arkansas",2005,"","False Alarm",NA,3
"Arkansas",2005,"","Support action/Assist fire",80,1
"Arkansas",2005,"","Support action/Assist fire",NA,15
"Arkansas",2005,"Human","Active/Suppressed",0.05,4
"Arkansas",2005,"Human","Active/Suppressed",2,4
"Arkansas",2005,"Human","Active/Suppressed",22,5
"Arkansas",2005,"Human","Active/Suppressed",80,1
"Arkansas",2005,"Human","Active/Suppressed",262.5,2
"Arkansas",2005,"Human","Prescribed fire",2,1
"Arkansas",2005,"Human","Prescribed fire",22,5
"Arkansas",2005,"Human","Prescribed fire",80,2
"Arkansas",2005,"Human","Prescribed fire",262.5,5
"Arkansas",2005,"Human","Support action/Assist fire",NA,4
"Arkansas",2005,"Human","Unknown",0.05,20
"Arkansas",2005,"Human","Unknown",2,61
"Arkansas",2005,"Human","Unknown",22,32
"Arkansas",2005,"Human","Unknown",80,4
"Arkansas",2005,"Human","Unknown",262.5,2
"Arkansas",2005,"Natural","Active/Suppressed",2,3
"Arkansas",2005,"Natural","Active/Suppressed",22,2
"Arkansas",2005,"Natural","Active/Suppressed",1214,1
"Arkansas",2005,"Natural","Unknown",0.05,3
"Arkansas",2005,"Natural","Unknown",2,7
"Arkansas",2005,"Natural","Unknown",22,8
"Arkansas",2005,"Natural","Unknown",80,1
"Arkansas",2006,"","Support action/Assist fire",2,1
"Arkansas",2006,"Human","Active/Suppressed",0.05,8
"Arkansas",2006,"Human","Active/Suppressed",2,15
"Arkansas",2006,"Human","Active/Suppressed",22,6
"Arkansas",2006,"Human","Active/Suppressed",80,2
"Arkansas",2006,"Human","Active/Suppressed",262.5,1
"Arkansas",2006,"Human","Prescribed fire",2,1
"Arkansas",2006,"Human","Prescribed fire",22,5
"Arkansas",2006,"Human","Prescribed fire",80,1
"Arkansas",2006,"Human","Prescribed fire",262.5,6
"Arkansas",2006,"Human","Support action/Assist fire",2,1
"Arkansas",2006,"Human","Support action/Assist fire",80,1
"Arkansas",2006,"Human","Support action/Assist fire",1214,1
"Arkansas",2006,"Human","Support action/Assist fire",NA,2
"Arkansas",2006,"Human","Unknown",0.05,22
"Arkansas",2006,"Human","Unknown",2,54
"Arkansas",2006,"Human","Unknown",22,38
"Arkansas",2006,"Human","Unknown",80,2
"Arkansas",2006,"Human","Unknown",262.5,4
"Arkansas",2006,"Natural","Active/Suppressed",2,1
"Arkansas",2006,"Natural","Active/Suppressed",22,2
"Arkansas",2006,"Natural","Active/Suppressed",80,1
"Arkansas",2006,"Natural","Natural out",0.05,2
"Arkansas",2006,"Natural","Unknown",0.05,20
"Arkansas",2006,"Natural","Unknown",2,37
"Arkansas",2006,"Natural","Unknown",22,13
"Arkansas",2006,"Natural","Unknown",80,4
"Arkansas",2006,"Natural","Unknown",262.5,2
"Arkansas",2006,"Natural","Unknown",1214,1
"Arkansas",2006,"Natural","Unknown",5000,2
"Arkansas",2007,"","False Alarm",NA,1
"Arkansas",2007,"","Natural out",2,1
"Arkansas",2007,"","Support action/Assist fire",80,1
"Arkansas",2007,"","Support action/Assist fire",NA,6
"Arkansas",2007,"Human","",0.05,1
"Arkansas",2007,"Human","",2,1
"Arkansas",2007,"Human","",22,1
"Arkansas",2007,"Human","Active/Suppressed",0.05,4
"Arkansas",2007,"Human","Active/Suppressed",2,4
"Arkansas",2007,"Human","Active/Suppressed",22,1
"Arkansas",2007,"Human","Active/Suppressed",262.5,1
"Arkansas",2007,"Human","Active/Suppressed",NA,2
"Arkansas",2007,"Human","Natural out",2,2
"Arkansas",2007,"Human","Natural out",22,1
"Arkansas",2007,"Human","Prescribed fire",2,1
"Arkansas",2007,"Human","Prescribed fire",22,1
"Arkansas",2007,"Human","Prescribed fire",80,3
"Arkansas",2007,"Human","Prescribed fire",262.5,3
"Arkansas",2007,"Human","Prescribed fire",1214,1
"Arkansas",2007,"Human","Prescribed fire",5000,1
"Arkansas",2007,"Human","Support action/Assist fire",2,1
"Arkansas",2007,"Human","Support action/Assist fire",NA,2
"Arkansas",2007,"Human","Unknown",0.05,15
"Arkansas",2007,"Human","Unknown",2,38
"Arkansas",2007,"Human","Unknown",22,26
"Arkansas",2007,"Human","Unknown",80,5
"Arkansas",2007,"Human","Unknown",262.5,2
"Arkansas",2007,"Human","Unknown",1214,1
"Arkansas",2007,"Natural","Active/Suppressed",0.05,2
"Arkansas",2007,"Natural","Active/Suppressed",2,1
"Arkansas",2007,"Natural","Natural out",0.05,1
"Arkansas",2007,"Natural","Natural out",2,1
"Arkansas",2007,"Natural","Unknown",2,6
"Arkansas",2007,"Natural","Unknown",22,6
"Arkansas",2007,"Natural","Unknown",1214,1
"Arkansas",2008,"","Active/Suppressed",22,1
"Arkansas",2008,"","Support action/Assist fire",NA,6
"Arkansas",2008,"Human","",2,2
"Arkansas",2008,"Human","Active/Suppressed",0.05,1
"Arkansas",2008,"Human","Active/Suppressed",2,2
"Arkansas",2008,"Human","Active/Suppressed",22,5
"Arkansas",2008,"Human","Natural out",0.05,6
"Arkansas",2008,"Human","Prescribed fire",2,1
"Arkansas",2008,"Human","Prescribed fire",22,2
"Arkansas",2008,"Human","Prescribed fire",80,3
"Arkansas",2008,"Human","Prescribed fire",262.5,4
"Arkansas",2008,"Human","Prescribed fire",1214,1
"Arkansas",2008,"Human","Unknown",0.05,9
"Arkansas",2008,"Human","Unknown",2,19
"Arkansas",2008,"Human","Unknown",22,8
"Arkansas",2008,"Natural","Unknown",22,2
"Arkansas",2008,"Undetermined","Natural out",2,1
"Arkansas",2009,"Human","Active/Suppressed",0.05,4
"Arkansas",2009,"Human","Active/Suppressed",2,3
"Arkansas",2009,"Human","Active/Suppressed",22,3
"Arkansas",2009,"Human","Natural out",0.05,1
"Arkansas",2009,"Human","Prescribed fire",2,2
"Arkansas",2009,"Human","Prescribed fire",22,6
"Arkansas",2009,"Human","Prescribed fire",80,3
"Arkansas",2009,"Human","Prescribed fire",262.5,8
"Arkansas",2009,"Human","Prescribed fire",1214,2
"Arkansas",2009,"Human","Unknown",0.05,3
"Arkansas",2009,"Human","Unknown",2,27
"Arkansas",2009,"Human","Unknown",22,11
"Arkansas",2009,"Human","Unknown",80,3
"Arkansas",2009,"Human","Unknown",262.5,2
"Arkansas",2009,"Natural","Active/Suppressed",0.05,1
"Arkansas",2009,"Natural","Active/Suppressed",2,1
"Arkansas",2009,"Natural","Active/Suppressed",80,1
"Arkansas",2009,"Natural","Unknown",0.05,1
"Arkansas",2009,"Natural","Unknown",2,1
"Arkansas",2009,"Natural","Unknown",22,1
"Arkansas",2010,"","Active/Suppressed",2,1
"Arkansas",2010,"","Active/Suppressed",22,1
"Arkansas",2010,"","Support action/Assist fire",2,1
"Arkansas",2010,"Human","",2,4
"Arkansas",2010,"Human","Active/Suppressed",0.05,6
"Arkansas",2010,"Human","Active/Suppressed",2,5
"Arkansas",2010,"Human","Active/Suppressed",22,6
"Arkansas",2010,"Human","Natural out",0.05,1
"Arkansas",2010,"Human","Natural out",2,1
"Arkansas",2010,"Human","Prescribed fire",2,1
"Arkansas",2010,"Human","Prescribed fire",22,3
"Arkansas",2010,"Human","Prescribed fire",80,1
"Arkansas",2010,"Human","Prescribed fire",262.5,1
"Arkansas",2010,"Human","Prescribed fire",1214,2
"Arkansas",2010,"Human","Support action/Assist fire",NA,1
"Arkansas",2010,"Human","Unknown",0.05,14
"Arkansas",2010,"Human","Unknown",2,26
"Arkansas",2010,"Human","Unknown",22,21
"Arkansas",2010,"Human","Unknown",80,3
"Arkansas",2010,"Natural","",2,1
"Arkansas",2010,"Natural","Active/Suppressed",2,1
"Arkansas",2010,"Natural","Unknown",0.05,2
"Arkansas",2010,"Natural","Unknown",2,3
"Arkansas",2010,"Natural","Unknown",22,2
"Arkansas",2010,"Natural","Unknown",262.5,1
"Arkansas",2010,"Undetermined","",0.05,1
"Arkansas",2010,"Undetermined","",2,2
"Arkansas",2010,"Undetermined","",80,1
"Arkansas",2011,"","False Alarm",NA,1
"Arkansas",2011,"","Support action/Assist fire",NA,11
"Arkansas",2011,"Human","Active/Suppressed",0.05,2
"Arkansas",2011,"Human","Active/Suppressed",2,9
"Arkansas",2011,"Human","Active/Suppressed",22,8
"Arkansas",2011,"Human","Active/Suppressed",80,4
"Arkansas",2011,"Human","Active/Suppressed",262.5,2
"Arkansas",2011,"Human","Active/Suppressed",1214,1
"Arkansas",2011,"Human","Natural out",0.05,2
"Arkansas",2011,"Human","Prescribed fire",2,1
"Arkansas",2011,"Human","Prescribed fire",22,2
"Arkansas",2011,"Human","Prescribed fire",80,2
"Arkansas",2011,"Human","Prescribed fire",262.5,3
"Arkansas",2011,"Human","Prescribed fire",1214,1
"Arkansas",2011,"Human","Support action/Assist fire",22,1
"Arkansas",2011,"Human","Unknown",0.05,11
"Arkansas",2011,"Human","Unknown",2,31
"Arkansas",2011,"Human","Unknown",22,22
"Arkansas",2011,"Human","Unknown",80,2
"Arkansas",2011,"Human","Unknown",262.5,1
"Arkansas",2011,"Natural","Active/Suppressed",2,6
"Arkansas",2011,"Natural","Active/Suppressed",22,3
"Arkansas",2011,"Natural","Natural out",0.05,2
"Arkansas",2011,"Natural","Natural out",22,1
"Arkansas",2011,"Natural","Support action/Assist fire",1214,1
"Arkansas",2011,"Natural","Unknown",0.05,10
"Arkansas",2011,"Natural","Unknown",2,23
"Arkansas",2011,"Natural","Unknown",22,15
"Arkansas",2011,"Natural","Unknown",80,4
"Arkansas",2011,"Natural","Unknown",262.5,5
"Arkansas",2011,"Natural","Unknown",1214,1
"Arkansas",2012,"","False Alarm",NA,9
"Arkansas",2012,"","Natural out",NA,3
"Arkansas",2012,"","Support action/Assist fire",80,1
"Arkansas",2012,"","Support action/Assist fire",NA,36
"Arkansas",2012,"Human","",2,1
"Arkansas",2012,"Human","Active/Suppressed",0.05,17
"Arkansas",2012,"Human","Active/Suppressed",2,19
"Arkansas",2012,"Human","Active/Suppressed",22,9
"Arkansas",2012,"Human","Active/Suppressed",80,1
"Arkansas",2012,"Human","Prescribed fire",2,1
"Arkansas",2012,"Human","Prescribed fire",22,3
"Arkansas",2012,"Human","Prescribed fire",80,6
"Arkansas",2012,"Human","Prescribed fire",262.5,5
"Arkansas",2012,"Human","Prescribed fire",1214,1
"Arkansas",2012,"Human","Support action/Assist fire",2,1
"Arkansas",2012,"Human","Support action/Assist fire",NA,1
"Arkansas",2012,"Human","Unknown",0.05,15
"Arkansas",2012,"Human","Unknown",2,58
"Arkansas",2012,"Human","Unknown",22,19
"Arkansas",2012,"Human","Unknown",262.5,1
"Arkansas",2012,"Natural","Active/Suppressed",0.05,8
"Arkansas",2012,"Natural","Active/Suppressed",2,5
"Arkansas",2012,"Natural","Active/Suppressed",22,1
"Arkansas",2012,"Natural","Natural out",2,1
"Arkansas",2012,"Natural","Unknown",0.05,10
"Arkansas",2012,"Natural","Unknown",2,42
"Arkansas",2012,"Natural","Unknown",22,15
"Arkansas",2012,"Natural","Unknown",80,2
"Arkansas",2012,"Natural","Unknown",262.5,2
"Arkansas",2012,"Natural","Unknown",1214,1
"Arkansas",2012,"Undetermined","Active/Suppressed",2,2
"Arkansas",2012,"Undetermined","Active/Suppressed",22,2
"Arkansas",2013,"","Active/Suppressed",2,1
"Arkansas",2013,"","False Alarm",NA,1
"Arkansas",2013,"","Support action/Assist fire",NA,21
"Arkansas",2013,"Human","Active/Suppressed",0.05,8
"Arkansas",2013,"Human","Active/Suppressed",2,2
"Arkansas",2013,"Human","Active/Suppressed",22,1
"Arkansas",2013,"Human","Active/Suppressed",1214,1
"Arkansas",2013,"Human","Natural out",0.05,2
"Arkansas",2013,"Human","Natural out",2,1
"Arkansas",2013,"Human","Natural out",22,1
"Arkansas",2013,"Human","Prescribed fire",22,2
"Arkansas",2013,"Human","Prescribed fire",5000,1
"Arkansas",2013,"Human","Unknown",0.05,13
"Arkansas",2013,"Human","Unknown",2,30
"Arkansas",2013,"Human","Unknown",22,7
"Arkansas",2013,"Human","Unknown",80,1
"Arkansas",2013,"Human","Unknown",262.5,1
"Arkansas",2013,"Natural","Active/Suppressed",2,1
"Arkansas",2013,"Natural","Natural out",0.05,1
"Arkansas",2013,"Natural","Unknown",0.05,1
"Arkansas",2013,"Natural","Unknown",2,1
"Arkansas",2013,"Natural","Unknown",22,6
"Arkansas",2013,"Natural","Unknown",262.5,1
"Arkansas",2013,"Undetermined","Natural out",22,1
"Arkansas",2014,"","False Alarm",22,2
"Arkansas",2014,"","False Alarm",NA,2
"Arkansas",2014,"","Support action/Assist fire",1214,1
"Arkansas",2014,"","Support action/Assist fire",NA,30
"Arkansas",2014,"Human","",0.05,3
"Arkansas",2014,"Human","",22,1
"Arkansas",2014,"Human","Active/Suppressed",0.05,10
"Arkansas",2014,"Human","Active/Suppressed",2,10
"Arkansas",2014,"Human","Active/Suppressed",22,3
"Arkansas",2014,"Human","Active/Suppressed",80,1
"Arkansas",2014,"Human","Active/Suppressed",262.5,2
"Arkansas",2014,"Human","Natural out",2,2
"Arkansas",2014,"Human","Prescribed fire",2,1
"Arkansas",2014,"Human","Prescribed fire",22,1
"Arkansas",2014,"Human","Prescribed fire",80,4
"Arkansas",2014,"Human","Prescribed fire",262.5,10
"Arkansas",2014,"Human","Prescribed fire",1214,2
"Arkansas",2014,"Human","Support action/Assist fire",22,1
"Arkansas",2014,"Human","Unknown",0.05,8
"Arkansas",2014,"Human","Unknown",2,16
"Arkansas",2014,"Human","Unknown",22,8
"Arkansas",2014,"Human","Unknown",80,3
"Arkansas",2014,"Human","Unknown",262.5,1
"Arkansas",2014,"Human","Unknown",1214,1
"Arkansas",2014,"Natural","Active/Suppressed",0.05,1
"Arkansas",2014,"Natural","Unknown",0.05,2
"Arkansas",2014,"Undetermined","Support action/Assist fire",NA,2
"Arkansas",2015,"","False Alarm",0.05,1
"Arkansas",2015,"","False Alarm",2,1
"Arkansas",2015,"","False Alarm",NA,1
"Arkansas",2015,"","Support action/Assist fire",NA,37
"Arkansas",2015,"Human","",0.05,2
"Arkansas",2015,"Human","",2,1
"Arkansas",2015,"Human","",22,1
"Arkansas",2015,"Human","Active/Suppressed",0.05,33
"Arkansas",2015,"Human","Active/Suppressed",2,26
"Arkansas",2015,"Human","Active/Suppressed",22,7
"Arkansas",2015,"Human","Active/Suppressed",80,6
"Arkansas",2015,"Human","Active/Suppressed",262.5,2
"Arkansas",2015,"Human","Active/Suppressed",1214,1
"Arkansas",2015,"Human","Active/Suppressed",NA,1
"Arkansas",2015,"Human","False Alarm",0.05,2
"Arkansas",2015,"Human","False Alarm",22,1
"Arkansas",2015,"Human","False Alarm",80,1
"Arkansas",2015,"Human","False Alarm",NA,2
"Arkansas",2015,"Human","Natural out",2,1
"Arkansas",2015,"Human","Prescribed fire",0.05,1
"Arkansas",2015,"Human","Prescribed fire",2,5
"Arkansas",2015,"Human","Prescribed fire",22,3
"Arkansas",2015,"Human","Prescribed fire",80,4
"Arkansas",2015,"Human","Prescribed fire",262.5,5
"Arkansas",2015,"Human","Prescribed fire",1214,1
"Arkansas",2015,"Natural","Active/Suppressed",0.05,1
"Arkansas",2015,"Natural","Active/Suppressed",2,3
"Arkansas",2015,"Natural","Active/Suppressed",22,3
"Arkansas",2015,"Undetermined","",2,1
"Arkansas",2016,"","False Alarm",0.05,1
"Arkansas",2016,"","False Alarm",22,2
"Arkansas",2016,"","False Alarm",NA,1
"Arkansas",2016,"Human","",0.05,1
"Arkansas",2016,"Human","Active/Suppressed",0.05,13
"Arkansas",2016,"Human","Active/Suppressed",2,23
"Arkansas",2016,"Human","Active/Suppressed",22,17
"Arkansas",2016,"Human","Active/Suppressed",80,2
"Arkansas",2016,"Human","Active/Suppressed",262.5,3
"Arkansas",2016,"Human","Active/Suppressed",1214,1
"Arkansas",2016,"Human","Natural out",2,1
"Arkansas",2016,"Human","Prescribed fire",22,7
"Arkansas",2016,"Human","Prescribed fire",80,6
"Arkansas",2016,"Human","Prescribed fire",262.5,9
"Arkansas",2016,"Human","Prescribed fire",1214,3
