"Case.Study.ID","Location","Region.or.district","Study.Date..start.","Study.Date..end.","State","Land tenure","Fire development stage","Primary AFT","Secondary AFT","Tertiary AFT"
"455a",NA,"North Dakota","2016","2016","Kansas","Private","Industrial","Intensive farmer","Livestock farmer, Intensive","Conservationist"
"456a","Edwards Plateau","Texas","2004","2004","Texas","Private","Industrial","Livestock farmer, Intensive",NA,NA
"469a","Niobara Valley","Nebraska","2013","2013","Nebraska","Private","Post-industrial","Conservationist (Pyro-diversity)",NA,NA
"469b","Black Lake","New Mexico","2013","2013","New Mexico","Centrally-allocated","Industrial","Forestry, Industrial","Conservationist",NA
"469c","Arcata","California","2013","2013","California","Mixed","Industrial","ND",NA,NA
"490a","Native American Tribal Lands","Pacific Northwest","2004","2004","Washington","Traditional","Transition","Forestry, Industrial","Hunter-gatherer (hunting focused)","Forestry, Small-scale"
"491a","Koyukuk National Wildlife Refuge","Alaska","2010","2010","Alaska","Centrally-allocated","Post-industrial","Hunter-gatherer (hunting focused)","Forestry (managed)",NA
"493a",NA,"Idaho","2011","2016","Idaho","Mixed","Industrial","Livestock farmer, Intensive","Forestry, Industrial",NA
"501a",NA,"Arkansas","2002","2002","Arkansas","Private","Industrial","Intensive farmer",NA,NA
"501b","Everglades agricultural area","Florida","2007","2007","Florida","Private","Industrial","Intensive farmer",NA,NA
"501c",NA,"Louisiana","2002","2002","Missouri","Private","Industrial","Intensive farmer",NA,NA
"501d",NA,"Washington State","2004","2007","Washington","Private","Industrial","Intensive farmer",NA,NA
"503a",NA,"Florida","2018","2018","Florida","Private","Industrial","Intensive farmer","Forestry (managed)","Cattle, Intensive"
"503b",NA,"Georgia","2018","2018","Georgia","Private","Industrial","Intensive farmer","Forestry (managed)",NA
"504a",NA,"Arkansas","2003","2006","Arkansas","Private","Industrial","Intensive farmer",NA,NA
